FlightDate,Day_Of_Week,Airline,Tail_Number,Cancelled,Diverted,Dep_Airport,Dep_CityName,DepTime_label,Dep_Delay,Dep_Delay_Tag,Dep_Delay_Type,Arr_Airport,Arr_CityName,Arr_Delay,Arr_Delay_Type,Flight_Duration,Distance_type,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft
2023-08-30,3,Delta Air Lines Inc,N593NW,0.0,1.0,ATL,"Atlanta, GA",Morning,-4.0,0,No Departure Delay,SAN,"San Diego, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N383DZ,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,SAN,"San Diego, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N383DZ,1.0,0.0,SAN,"San Diego, CA",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N397DN,1.0,0.0,SAN,"San Diego, CA",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N703TW,1.0,0.0,SNA,"Santa Ana, CA",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-13,7,Delta Air Lines Inc,N823DX,0.0,1.0,LAS,"Las Vegas, NV",Morning,126.0,1,Hight Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-24,4,Delta Air Lines Inc,N583NW,1.0,0.0,DTW,"Detroit, MI",Morning,0.0,0,No Departure Delay,LAS,"Las Vegas, NV",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-24,4,Delta Air Lines Inc,N583NW,1.0,0.0,LAS,"Las Vegas, NV",Morning,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N341DN,0.0,1.0,PHX,"Phoenix, AZ",Morning,11.0,1,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-12,6,Delta Air Lines Inc,N106DN,0.0,1.0,PHX,"Phoenix, AZ",Morning,-4.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N538US,1.0,0.0,ATL,"Atlanta, GA",Afternoon,0.0,0,No Departure Delay,PHL,"Philadelphia, PA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N538US,1.0,0.0,PHL,"Philadelphia, PA",Afternoon,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N343NB,0.0,1.0,ATL,"Atlanta, GA",Evening,123.0,1,Hight Departure Delay,DCA,"Washington, DC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N929DZ,1.0,0.0,SEA,"Seattle, WA",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N703TW,1.0,0.0,ATL,"Atlanta, GA",Afternoon,0.0,0,No Departure Delay,SNA,"Santa Ana, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-24,4,Delta Air Lines Inc,N396DN,1.0,0.0,MSP,"Minneapolis, MN",Evening,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-08,2,Delta Air Lines Inc,N318DX,1.0,0.0,FLL,"Fort Lauderdale, FL",Morning,0.0,0,No Departure Delay,SLC,"Salt Lake City, UT",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N310DN,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-13,7,Delta Air Lines Inc,N374DX,1.0,0.0,LGA,"New York, NY",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-23,3,Delta Air Lines Inc,N820DN,0.0,1.0,LAX,"Los Angeles, CA",Morning,-6.0,0,No Departure Delay,TPA,"Tampa, FL",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-29,2,Delta Air Lines Inc,N858DZ,1.0,0.0,LAX,"Los Angeles, CA",Morning,0.0,0,No Departure Delay,TPA,"Tampa, FL",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-29,2,Delta Air Lines Inc,N858DZ,1.0,0.0,TPA,"Tampa, FL",Evening,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-30,3,Delta Air Lines Inc,N901DN,1.0,0.0,LAX,"Los Angeles, CA",Morning,0.0,0,No Departure Delay,TPA,"Tampa, FL",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-30,3,Delta Air Lines Inc,N901DN,1.0,0.0,TPA,"Tampa, FL",Evening,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-29,2,Delta Air Lines Inc,N3767,1.0,0.0,SEA,"Seattle, WA",Morning,0.0,0,No Departure Delay,TPA,"Tampa, FL",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-30,3,Delta Air Lines Inc,N3765,1.0,0.0,SEA,"Seattle, WA",Morning,0.0,0,No Departure Delay,TPA,"Tampa, FL",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-30,3,Delta Air Lines Inc,N355DN,0.0,1.0,SAN,"San Diego, CA",Afternoon,74.0,1,Hight Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N929DZ,1.0,0.0,DTW,"Detroit, MI",Afternoon,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-29,2,Delta Air Lines Inc,N353DN,1.0,0.0,MSP,"Minneapolis, MN",Morning,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N377DN,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,PHX,"Phoenix, AZ",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-12,6,Delta Air Lines Inc,N305DN,0.0,1.0,DCA,"Washington, DC",Afternoon,-1.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N582NW,1.0,0.0,SEA,"Seattle, WA",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N887DN,1.0,0.0,PDX,"Portland, OR",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-31,4,Delta Air Lines Inc,N820DN,0.0,1.0,BOS,"Boston, MA",Evening,-5.0,0,No Departure Delay,PHX,"Phoenix, AZ",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N998AT,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,AVL,"Asheville, NC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N939AT,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,AVL,"Asheville, NC",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-29,2,Delta Air Lines Inc,N858DZ,1.0,0.0,TPA,"Tampa, FL",Morning,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-08,2,Delta Air Lines Inc,N594NW,1.0,0.0,ATL,"Atlanta, GA",Morning,0.0,0,No Departure Delay,LAS,"Las Vegas, NV",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-12,6,Delta Air Lines Inc,N584NW,0.0,1.0,LAS,"Las Vegas, NV",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N886DN,0.0,1.0,SFO,"San Francisco, CA",Afternoon,58.0,1,Low Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-13,7,Delta Air Lines Inc,N693DL,1.0,0.0,LAX,"Los Angeles, CA",Morning,0.0,0,No Departure Delay,BOS,"Boston, MA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N364DX,1.0,0.0,ATL,"Atlanta, GA",Afternoon,0.0,0,No Departure Delay,LGA,"New York, NY",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N111DC,1.0,0.0,SLC,"Salt Lake City, UT",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N377DN,1.0,0.0,PHX,"Phoenix, AZ",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N307DX,1.0,0.0,PHX,"Phoenix, AZ",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-28,1,Delta Air Lines Inc,N304DN,0.0,1.0,PHX,"Phoenix, AZ",Afternoon,11.0,1,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-25,5,Delta Air Lines Inc,N381DZ,1.0,0.0,LAX,"Los Angeles, CA",Morning,0.0,0,No Departure Delay,MSP,"Minneapolis, MN",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-24,4,Delta Air Lines Inc,N596NW,1.0,0.0,LAX,"Los Angeles, CA",Afternoon,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N703TW,0.0,1.0,SNA,"Santa Ana, CA",Morning,1.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N722TW,1.0,0.0,SNA,"Santa Ana, CA",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N370DN,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,LAS,"Las Vegas, NV",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N722TW,0.0,1.0,SNA,"Santa Ana, CA",Morning,25.0,1,Low Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-24,4,Delta Air Lines Inc,N585NW,1.0,0.0,SFO,"San Francisco, CA",Morning,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-12,6,Delta Air Lines Inc,N303DN,0.0,1.0,DFW,"Dallas/Fort Worth, TX",Afternoon,43.0,1,Low Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N551NW,1.0,0.0,DEN,"Denver, CO",Night,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N387DN,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,DFW,"Dallas/Fort Worth, TX",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-21,1,Delta Air Lines Inc,N320US,1.0,0.0,AUS,"Austin, TX",Morning,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N916DU,1.0,0.0,ATL,"Atlanta, GA",Morning,0.0,0,No Departure Delay,DTW,"Detroit, MI",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N674DL,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,MCO,"Orlando, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N674DL,1.0,0.0,MCO,"Orlando, FL",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N539US,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,FLL,"Fort Lauderdale, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N721TW,0.0,1.0,SNA,"Santa Ana, CA",Morning,-1.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-28,1,Delta Air Lines Inc,N6704Z,0.0,1.0,SNA,"Santa Ana, CA",Morning,-5.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Medium Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N540US,1.0,0.0,ATL,"Atlanta, GA",Afternoon,0.0,0,No Departure Delay,SRQ,"Sarasota/Bradenton, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N540US,1.0,0.0,SRQ,"Sarasota/Bradenton, FL",Evening,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-29,2,Delta Air Lines Inc,N537US,1.0,0.0,ATL,"Atlanta, GA",Afternoon,0.0,0,No Departure Delay,SRQ,"Sarasota/Bradenton, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-18,5,Delta Air Lines Inc,N335NW,1.0,0.0,ORD,"Chicago, IL",Evening,0.0,0,No Departure Delay,SLC,"Salt Lake City, UT",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N340DN,1.0,0.0,PBI,"West Palm Beach/Palm Beach, FL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-08,2,Delta Air Lines Inc,N339DN,1.0,0.0,PBI,"West Palm Beach/Palm Beach, FL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N340DN,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,PBI,"West Palm Beach/Palm Beach, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N339DN,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,PBI,"West Palm Beach/Palm Beach, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-12,6,Delta Air Lines Inc,N115DN,1.0,0.0,ATL,"Atlanta, GA",Evening,0.0,0,No Departure Delay,PBI,"West Palm Beach/Palm Beach, FL",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-06,7,Delta Air Lines Inc,N946DZ,1.0,0.0,ECP,"Panama City, FL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-07,1,Delta Air Lines Inc,N945DZ,1.0,0.0,ECP,"Panama City, FL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-08,2,Delta Air Lines Inc,N955DZ,1.0,0.0,ECP,"Panama City, FL",Morning,0.0,0,No Departure Delay,ATL,"Atlanta, GA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
2023-08-19,6,Delta Air Lines Inc,N353NB,1.0,0.0,DAL,"Dallas, TX",Morning,0.0,0,No Departure Delay,LAX,"Los Angeles, CA",0.0,No Arrival Delay,0.0,Short Haul,0.0,0.0,0.0,0.0,0.0
